System Epoch,E4 Epoch,Corrected Epoch,Value,
1668571122757,1668571122148,1668571122758,0.6522,
1668571122757,1668571122398,1668571123008,0.6612,
1668571122757,1668571122648,1668571123258,0.6676,
1668571122757,1668571122898,1668571123508,0.6689,
1668571122757,1668571123148,1668571123758,0.6753,
1668571122757,1668571123398,1668571124008,0.6689,
1668571124286,1668571123648,1668571124258,0.6740,
1668571124286,1668571123898,1668571124508,0.6676,
1668571124287,1668571124148,1668571124758,0.6650,
1668571124287,1668571124398,1668571125008,0.6612,
1668571124287,1668571124648,1668571125258,0.6548,
1668571124287,1668571124898,1668571125508,0.6509,
1668571125772,1668571125148,1668571125758,0.6458,
1668571125772,1668571125398,1668571126008,0.6433,
1668571125773,1668571125648,1668571126258,0.6420,
1668571125773,1668571125898,1668571126508,0.6407,
1668571125773,1668571126148,1668571126758,0.6420,
1668571125773,1668571126398,1668571127008,0.6458,
1668571127257,1668571126648,1668571127258,0.6509,
1668571127257,1668571126898,1668571127508,0.6599,
1668571127258,1668571127148,1668571127758,0.6804,
1668571127258,1668571127398,1668571128008,0.6919,
1668571127258,1668571127648,1668571128258,0.7009,
1668571127258,1668571127898,1668571128508,0.7099,
1668571128764,1668571128148,1668571128758,0.7176,
1668571128764,1668571128398,1668571129008,0.7163,
1668571128765,1668571128648,1668571129258,0.7124,
1668571128765,1668571128898,1668571129508,0.7086,
1668571128765,1668571129148,1668571129758,0.7060,
1668571128765,1668571129398,1668571130008,0.7022,
1668571130272,1668571129648,1668571130258,0.6996,
1668571130272,1668571129898,1668571130508,0.6971,
1668571130274,1668571130148,1668571130758,0.6945,
1668571130274,1668571130398,1668571131008,0.6919,
1668571130274,1668571130648,1668571131258,0.6907,
1668571130274,1668571130898,1668571131508,0.6868,
1668571131779,1668571131148,1668571131758,0.6843,
1668571131779,1668571131398,1668571132008,0.6843,
1668571131780,1668571131648,1668571132258,0.6830,
1668571131780,1668571131898,1668571132508,0.6830,
1668571131780,1668571132148,1668571132758,0.6817,
1668571131780,1668571132398,1668571133008,0.6843,
1668571133265,1668571132648,1668571133258,0.6868,
1668571133265,1668571132898,1668571133508,0.6868,
1668571133265,1668571133148,1668571133758,0.6907,
1668571133265,1668571133398,1668571134008,0.6894,
1668571133265,1668571133648,1668571134258,0.6945,
1668571133265,1668571133898,1668571134508,0.6932,
1668571134772,1668571134148,1668571134758,0.6958,
1668571134772,1668571134398,1668571135008,0.7009,
1668571134773,1668571134648,1668571135258,0.7060,
1668571134773,1668571134898,1668571135508,0.7150,
1668571134773,1668571135148,1668571135758,0.7240,
1668571134773,1668571135398,1668571136008,0.7304,
1668571136279,1668571135648,1668571136258,0.7355,
1668571136279,1668571135898,1668571136508,0.7419,
1668571136280,1668571136148,1668571136758,0.7445,
1668571136280,1668571136398,1668571137008,0.7509,
1668571136280,1668571136648,1668571137258,0.7521,
1668571136280,1668571136898,1668571137508,0.7547,
1668571137765,1668571137148,1668571137758,0.7560,
1668571137765,1668571137398,1668571138008,0.7560,
1668571137765,1668571137648,1668571138258,0.7547,
1668571137765,1668571137898,1668571138508,0.7521,
1668571137765,1668571138148,1668571138758,0.7496,
1668571137765,1668571138398,1668571139008,0.7521,
1668571139272,1668571138898,1668571139508,0.7842,
1668571139272,1668571138648,1668571139258,0.7637,
1668571139273,1668571139148,1668571139758,0.8072,
1668571139273,1668571139398,1668571140008,0.8226,
1668571139273,1668571139648,1668571140258,0.8367,
1668571139273,1668571139898,1668571140508,0.8444,
1668571140756,1668571140148,1668571140758,0.8469,
1668571140756,1668571140398,1668571141008,0.8444,
1668571140757,1668571140648,1668571141258,0.8456,
1668571140757,1668571140898,1668571141508,0.8444,
1668571140757,1668571141148,1668571141758,0.8431,
1668571140757,1668571141398,1668571142008,0.8431,
1668571142264,1668571141648,1668571142258,0.8444,
1668571142264,1668571141898,1668571142508,0.8508,
1668571142266,1668571142148,1668571142758,0.8610,
1668571142266,1668571142398,1668571143008,0.8777,
1668571142266,1668571142648,1668571143258,0.8943,
1668571142266,1668571142898,1668571143508,0.9033,
1668571143771,1668571143148,1668571143758,0.9084,
1668571143771,1668571143398,1668571144008,0.9097,
1668571143773,1668571143648,1668571144258,0.9058,
1668571143773,1668571143898,1668571144508,0.9058,
1668571143773,1668571144148,1668571144758,0.9020,
1668571143773,1668571144398,1668571145008,0.8994,
1668571145257,1668571144648,1668571145258,0.8982,
1668571145257,1668571144898,1668571145508,0.8969,
1668571145258,1668571145148,1668571145758,0.8943,
1668571145258,1668571145398,1668571146008,0.8982,
1668571145258,1668571145648,1668571146258,0.9033,
1668571145258,1668571145898,1668571146508,0.9097,
1668571146764,1668571146398,1668571147008,0.9174,
1668571146764,1668571146148,1668571146758,0.9135,
1668571146766,1668571146648,1668571147258,0.9225,
1668571146766,1668571146898,1668571147508,0.9263,
1668571146766,1668571147148,1668571147758,0.9302,
1668571146766,1668571147398,1668571148008,0.9302,
1668571148272,1668571147898,1668571148508,0.9315,
1668571148272,1668571147648,1668571148258,0.9340,
1668571148273,1668571148148,1668571148758,0.9327,
1668571148273,1668571148398,1668571149008,0.9302,
1668571148273,1668571148648,1668571149258,0.9302,
1668571148273,1668571148898,1668571149508,0.9276,
1668571149757,1668571149148,1668571149758,0.9276,
1668571149757,1668571149398,1668571150008,0.9263,
1668571149758,1668571149648,1668571150258,0.9289,
1668571149758,1668571149898,1668571150508,0.9340,
1668571149758,1668571150148,1668571150758,0.9327,
1668571149758,1668571150398,1668571151008,0.9366,
1668571151287,1668571150648,1668571151258,0.9353,
1668571151288,1668571150898,1668571151508,0.9379,
1668571151288,1668571151148,1668571151758,0.9468,
1668571151288,1668571151398,1668571152008,0.9532,
1668571151288,1668571151648,1668571152258,0.9532,
1668571151288,1668571151898,1668571152508,0.9532,
1668571152772,1668571152148,1668571152758,0.9571,
1668571152773,1668571152398,1668571153008,0.9596,
1668571152773,1668571152648,1668571153258,0.9660,
1668571152773,1668571152898,1668571153508,0.9750,
1668571152773,1668571153148,1668571153758,0.9942,
1668571152773,1668571153398,1668571154008,1.0224,
1668571154257,1668571153648,1668571154258,0.9712,
1668571154257,1668571153898,1668571154508,0.9840,
1668571154258,1668571154148,1668571154758,0.9904,
1668571154258,1668571154398,1668571155008,0.9969,
1668571154258,1668571154648,1668571155258,0.9930,
1668571154258,1668571154898,1668571155508,0.9840,
1668571155764,1668571155148,1668571155758,0.9764,
1668571155765,1668571155398,1668571156008,0.9661,
1668571155765,1668571155648,1668571156258,0.9623,
1668571155765,1668571155898,1668571156508,0.9571,
1668571155765,1668571156148,1668571156758,0.9507,
1668571155765,1668571156398,1668571157008,0.9533,
1668571157272,1668571156648,1668571157258,0.9546,
1668571157272,1668571156898,1668571157508,0.9571,
1668571157273,1668571157148,1668571157758,0.9533,
1668571157273,1668571157398,1668571158008,0.9507,
1668571157273,1668571157648,1668571158258,0.9482,
1668571157273,1668571157898,1668571158508,0.9507,
1668571158780,1668571158148,1668571158758,0.9584,
1668571158780,1668571158398,1668571159008,0.9661,
1668571158782,1668571158648,1668571159258,0.9725,
1668571158782,1668571158898,1668571159508,0.9738,
1668571158782,1668571159148,1668571159758,0.9751,
1668571158782,1668571159398,1668571160008,0.9764,
1668571160264,1668571159648,1668571160258,0.9802,
1668571160264,1668571159898,1668571160508,0.9866,
1668571160265,1668571160148,1668571160758,0.9956,
1668571160265,1668571160398,1668571161008,0.9981,
1668571160265,1668571160648,1668571161258,0.9981,
1668571160265,1668571160898,1668571161508,0.9956,
1668571161772,1668571161148,1668571161758,0.9969,
1668571161772,1668571161398,1668571162008,0.9956,
1668571161774,1668571161648,1668571162258,0.9866,
1668571161774,1668571161898,1668571162508,0.9853,
1668571161774,1668571162148,1668571162758,0.9789,
1668571161774,1668571162398,1668571163008,0.9802,
1668571163257,1668571162648,1668571163258,0.9776,
1668571163260,1668571162898,1668571163508,0.9853,
1668571163261,1668571163148,1668571163758,0.9917,
1668571163261,1668571163398,1668571164008,0.9981,
1668571163261,1668571163648,1668571164258,1.0122,
1668571163261,1668571163898,1668571164508,1.0109,
1668571164764,1668571164398,1668571165008,1.0122,
1668571164764,1668571164148,1668571164758,1.0097,
1668571164766,1668571164648,1668571165258,1.0135,
1668571164766,1668571164898,1668571165508,1.0109,
1668571164766,1668571165148,1668571165758,1.0135,
1668571164766,1668571165398,1668571166008,1.0109,
1668571166273,1668571165648,1668571166258,1.0097,
1668571166273,1668571165898,1668571166508,1.0135,
1668571166274,1668571166148,1668571166758,1.0122,
1668571166274,1668571166398,1668571167008,1.0161,
1668571166274,1668571166648,1668571167258,1.0212,
1668571166274,1668571166898,1668571167508,1.0225,
1668571167757,1668571167398,1668571168008,1.0353,
1668571167757,1668571167148,1668571167758,1.0289,
1668571167758,1668571167648,1668571168258,1.0417,
1668571167758,1668571167898,1668571168508,1.0506,
1668571167758,1668571168148,1668571168758,1.0699,
1668571167758,1668571168398,1668571169008,1.0840,
1668571169267,1668571168648,1668571169258,1.0955,
1668571169267,1668571168898,1668571169508,1.1070,
1668571169267,1668571169148,1668571169758,1.1134,
1668571169267,1668571169398,1668571170008,1.1070,
1668571169267,1668571169648,1668571170258,1.1032,
1668571169267,1668571169898,1668571170508,1.0929,
1668571170795,1668571170148,1668571170758,1.0840,
1668571170795,1668571170398,1668571171008,1.0801,
1668571170796,1668571170648,1668571171258,1.0750,
1668571170796,1668571170898,1668571171508,1.0686,
1668571170796,1668571171148,1668571171758,1.0673,
1668571170796,1668571171398,1668571172008,1.0622,
1668571172258,1668571171648,1668571172258,1.0635,
1668571172258,1668571171898,1668571172508,1.0647,
1668571172259,1668571172148,1668571172758,1.0622,
1668571172259,1668571172398,1668571173008,1.0596,
1668571172259,1668571172648,1668571173258,1.0596,
1668571172259,1668571172898,1668571173508,1.0660,
1668571173765,1668571173148,1668571173758,1.0763,
1668571173765,1668571173398,1668571174008,1.0929,
1668571173765,1668571173648,1668571174258,1.1032,
1668571173765,1668571173898,1668571174508,1.1134,
1668571173765,1668571174148,1668571174758,1.1224,
1668571173765,1668571174398,1668571175008,1.1288,
1668571175250,1668571174648,1668571175258,1.1313,
1668571175250,1668571174898,1668571175508,1.1352,
1668571175251,1668571175148,1668571175758,1.1377,
1668571175251,1668571175398,1668571176008,1.1403,
1668571175251,1668571175648,1668571176258,1.1352,
1668571175251,1668571175898,1668571176508,1.1352,
1668571176757,1668571176398,1668571177008,1.1288,
1668571176757,1668571176148,1668571176758,1.1301,
1668571176758,1668571176648,1668571177258,1.1275,
1668571176758,1668571176898,1668571177508,1.1301,
1668571176758,1668571177148,1668571177758,1.1326,
1668571176758,1668571177398,1668571178008,1.1377,
1668571178264,1668571177648,1668571178258,1.1377,
1668571178264,1668571177898,1668571178508,1.1403,
1668571178266,1668571178148,1668571178758,1.1416,
1668571178266,1668571178398,1668571179008,1.1467,
1668571178266,1668571178648,1668571179258,1.1480,
1668571178266,1668571178898,1668571179508,1.1531,
1668571179752,1668571179148,1668571179758,1.1595,
1668571179752,1668571179398,1668571180008,1.1672,
1668571179753,1668571179648,1668571180258,1.1710,
1668571179753,1668571179898,1668571180508,1.1710,
1668571179753,1668571180148,1668571180758,1.1698,
1668571179753,1668571180398,1668571181008,1.1659,
1668571181259,1668571180648,1668571181258,1.1634,
1668571181262,1668571180898,1668571181508,1.1621,
1668571181263,1668571181148,1668571181758,1.1582,
1668571181263,1668571181398,1668571182008,1.1582,
1668571181263,1668571181648,1668571182258,1.1595,
1668571181263,1668571181898,1668571182508,1.1634,
1668571182766,1668571182148,1668571182758,1.1698,
1668571182766,1668571182398,1668571183008,1.1736,
1668571182766,1668571182648,1668571183258,1.1749,
1668571182766,1668571182898,1668571183508,1.1800,
1668571182766,1668571183148,1668571183758,1.1877,
1668571182766,1668571183398,1668571184008,1.2044,
1668571184250,1668571183648,1668571184258,1.2210,
1668571184250,1668571183898,1668571184508,1.2377,
1668571184251,1668571184148,1668571184758,1.2441,
1668571184251,1668571184398,1668571185008,1.2441,
1668571184251,1668571184648,1668571185258,1.2428,
1668571184251,1668571184898,1668571185508,1.2402,
1668571185782,1668571185148,1668571185758,1.2351,
1668571185782,1668571185398,1668571186008,1.2325,
1668571185782,1668571185648,1668571186258,1.2287,
1668571185782,1668571185898,1668571186508,1.2287,
1668571185782,1668571186148,1668571186758,1.2402,
1668571185782,1668571186398,1668571187008,1.2581,
1668571187265,1668571186648,1668571187258,1.2722,
1668571187266,1668571186898,1668571187508,1.2825,
1668571187266,1668571187148,1668571187758,1.2825,
1668571187266,1668571187398,1668571188008,1.2838,
1668571187266,1668571187648,1668571188258,1.2761,
1668571187266,1668571187898,1668571188508,1.2607,
1668571188750,1668571188148,1668571188758,1.2530,
1668571188750,1668571188398,1668571189008,1.2402,
1668571188752,1668571188648,1668571189258,1.2274,
1668571188752,1668571188898,1668571189508,1.2184,
1668571188752,1668571189148,1668571189758,1.2120,
1668571188752,1668571189398,1668571190008,1.2056,
1668571190258,1668571189648,1668571190258,1.2044,
1668571190258,1668571189898,1668571190508,1.2069,
1668571190259,1668571190148,1668571190758,1.2056,
1668571190259,1668571190398,1668571191008,1.2120,
1668571190259,1668571190648,1668571191258,1.2223,
1668571190259,1668571190898,1668571191508,1.2287,
1668571191766,1668571191148,1668571191758,1.2415,
1668571191766,1668571191398,1668571192008,1.2466,
1668571191767,1668571191648,1668571192258,1.2505,
1668571191767,1668571191898,1668571192508,1.2479,
1668571191767,1668571192148,1668571192758,1.2441,
1668571191767,1668571192398,1668571193008,1.2415,
1668571193250,1668571192648,1668571193258,1.2364,
1668571193250,1668571192898,1668571193508,1.2300,
1668571193250,1668571193148,1668571193758,1.2223,
1668571193250,1668571193398,1668571194008,1.2184,
1668571193250,1668571193648,1668571194258,1.2146,
1668571193250,1668571193898,1668571194508,1.2172,
1668571194758,1668571194148,1668571194758,1.2133,
1668571194758,1668571194398,1668571195008,1.2082,
1668571194759,1668571194648,1668571195258,1.2056,
1668571194759,1668571194898,1668571195508,1.2044,
1668571194759,1668571195148,1668571195758,1.2108,
1668571194759,1668571195398,1668571196008,1.2351,
1668571196265,1668571195648,1668571196258,1.2581,
1668571196265,1668571195898,1668571196508,1.2799,
1668571196266,1668571196148,1668571196758,1.2991,
1668571196266,1668571196398,1668571197008,1.3158,
1668571196266,1668571196648,1668571197258,1.3196,
1668571196266,1668571196898,1668571197508,1.3158,
1668571197750,1668571197148,1668571197758,1.3055,
1668571197750,1668571197398,1668571198008,1.2991,
1668571197751,1668571197648,1668571198258,1.2979,
1668571197751,1668571197898,1668571198508,1.2940,
1668571197751,1668571198148,1668571198758,1.2927,
1668571197751,1668571198398,1668571199008,1.2902,
1668571199258,1668571198648,1668571199258,1.2876,
1668571199258,1668571198898,1668571199508,1.2838,
1668571199259,1668571199148,1668571199758,1.2774,
1668571199259,1668571199398,1668571200008,1.2684,
1668571199259,1668571199648,1668571200258,1.2633,
1668571199259,1668571199898,1668571200508,1.2569,
1668571200765,1668571200148,1668571200758,1.2505,
1668571200765,1668571200398,1668571201008,1.2479,
1668571200766,1668571200648,1668571201258,1.2428,
1668571200766,1668571200898,1668571201508,1.2377,
1668571200766,1668571201148,1668571201758,1.2364,
1668571200766,1668571201398,1668571202008,1.2338,
1668571202251,1668571201648,1668571202258,1.2338,
1668571202251,1668571201898,1668571202508,1.2338,
1668571202253,1668571202148,1668571202758,1.2364,
1668571202253,1668571202398,1668571203008,1.2466,
1668571202253,1668571202648,1668571203258,1.2607,
1668571202253,1668571202898,1668571203508,1.2697,
1668571203758,1668571203148,1668571203758,1.2748,
1668571203758,1668571203398,1668571204008,1.2748,
1668571203759,1668571203648,1668571204258,1.2774,
1668571203759,1668571203898,1668571204508,1.2761,
1668571203759,1668571204148,1668571204758,1.2722,
1668571203759,1668571204398,1668571205008,1.2684,
1668571205266,1668571204648,1668571205258,1.2646,
1668571205266,1668571204898,1668571205508,1.2594,
1668571205267,1668571205148,1668571205758,1.2607,
1668571205267,1668571205398,1668571206008,1.2646,
1668571205267,1668571205648,1668571206258,1.2594,
1668571205267,1668571205898,1668571206508,1.2594,
1668571206750,1668571206148,1668571206758,1.2620,
1668571206753,1668571206398,1668571207008,1.2607,
1668571206753,1668571206648,1668571207258,1.2581,
1668571206753,1668571206898,1668571207508,1.2607,
1668571206753,1668571207148,1668571207758,1.2684,
1668571206753,1668571207398,1668571208008,1.2786,
1668571208260,1668571207898,1668571208508,1.2966,
1668571208260,1668571207648,1668571208258,1.2876,
1668571208261,1668571208148,1668571208758,1.3043,
1668571208261,1668571208398,1668571209008,1.3094,
1668571208261,1668571208648,1668571209258,1.3107,
1668571208261,1668571208898,1668571209508,1.3081,
1668571209765,1668571209148,1668571209758,1.3055,
1668571209767,1668571209648,1668571210258,1.2927,
1668571209767,1668571209898,1668571210508,1.2863,
1668571209767,1668571210148,1668571210758,1.2825,
1668571209767,1668571210398,1668571211008,1.2761,
1668571209765,1668571209398,1668571210008,1.2966,
1668571211251,1668571210648,1668571211258,1.2786,
1668571211251,1668571210898,1668571211508,1.2838,
1668571211252,1668571211148,1668571211758,1.2966,
1668571211252,1668571211398,1668571212008,1.3094,
1668571211252,1668571211648,1668571212258,1.3196,
1668571211252,1668571211898,1668571212508,1.3209,
1668571212758,1668571212148,1668571212758,1.3248,
1668571212758,1668571212398,1668571213008,1.3235,
1668571212759,1668571212648,1668571213258,1.3196,
1668571212759,1668571212898,1668571213508,1.3132,
1668571212759,1668571213148,1668571213758,1.3081,
1668571212759,1668571213398,1668571214008,1.3030,
1668571214266,1668571213648,1668571214258,1.2991,
1668571214266,1668571213898,1668571214508,1.2966,
1668571214267,1668571214148,1668571214758,1.3043,
1668571214267,1668571214398,1668571215008,1.3068,
1668571214267,1668571214648,1668571215258,1.3055,
1668571214267,1668571214898,1668571215508,1.3107,
1668571215750,1668571215148,1668571215758,1.3145,
1668571215750,1668571215398,1668571216008,1.3222,
1668571215751,1668571215648,1668571216258,1.3260,
1668571215751,1668571215898,1668571216508,1.3273,
1668571215751,1668571216148,1668571216758,1.3286,
1668571215751,1668571216398,1668571217008,1.3299,
1668571217280,1668571216648,1668571217258,1.3273,
1668571217280,1668571216898,1668571217508,1.3248,
1668571217282,1668571217148,1668571217758,1.3235,
1668571217282,1668571217398,1668571218008,1.3248,
1668571217282,1668571217648,1668571218258,1.3248,
1668571217282,1668571217898,1668571218508,1.3222,
1668571218766,1668571218148,1668571218758,1.3183,
1668571218766,1668571218398,1668571219008,1.3171,
1668571218767,1668571218648,1668571219258,1.3158,
1668571218767,1668571218898,1668571219508,1.3171,
1668571218767,1668571219148,1668571219758,1.3222,
1668571218767,1668571219398,1668571220008,1.3260,
1668571220251,1668571219648,1668571220258,1.3286,
1668571220251,1668571219898,1668571220508,1.3312,
1668571220252,1668571220148,1668571220758,1.3286,
1668571220252,1668571220398,1668571221008,1.3350,
1668571220252,1668571220648,1668571221258,1.3337,
1668571220252,1668571220898,1668571221508,1.3286,
1668571221759,1668571221148,1668571221758,1.3235,
1668571221759,1668571221398,1668571222008,1.3196,
1668571221759,1668571221648,1668571222258,1.3171,
1668571221759,1668571221898,1668571222508,1.3183,
1668571221759,1668571222148,1668571222758,1.3158,
1668571221759,1668571222398,1668571223008,1.3171,
1668571223265,1668571222898,1668571223508,1.3145,
1668571223265,1668571222648,1668571223258,1.3158,
1668571223266,1668571223148,1668571223758,1.3145,
1668571223266,1668571223398,1668571224008,1.3094,
1668571223266,1668571223648,1668571224258,1.3068,
1668571223266,1668571223898,1668571224508,1.3081,
1668571224751,1668571224148,1668571224758,1.3068,
1668571224751,1668571224398,1668571225008,1.3068,
1668571224752,1668571224648,1668571225258,1.3068,
1668571224752,1668571224898,1668571225508,1.3145,
1668571224752,1668571225148,1668571225758,1.3235,
1668571224752,1668571225398,1668571226008,1.3388,
1668571226258,1668571225648,1668571226258,1.3452,
1668571226258,1668571225898,1668571226508,1.3491,
1668571226259,1668571226148,1668571226758,1.3529,
1668571226259,1668571226398,1668571227008,1.3504,
1668571226259,1668571226648,1668571227258,1.3478,
1668571226259,1668571226898,1668571227508,1.3440,
1668571227766,1668571227148,1668571227758,1.3414,
1668571227766,1668571227398,1668571228008,1.3376,
1668571227767,1668571227648,1668571228258,1.3299,
1668571227767,1668571227898,1668571228508,1.3312,
1668571227767,1668571228148,1668571228758,1.3299,
1668571227767,1668571228398,1668571229008,1.3260,
1668571229251,1668571228648,1668571229258,1.3222,
1668571229251,1668571228898,1668571229508,1.3171,
1668571229252,1668571229148,1668571229758,1.3183,
1668571229252,1668571229398,1668571230008,1.3132,
1668571229252,1668571229648,1668571230258,1.3119,
1668571229252,1668571229898,1668571230508,1.3094,
1668571230758,1668571230148,1668571230758,1.3132,
1668571230758,1668571230398,1668571231008,1.3209,
1668571230763,1668571230648,1668571231258,1.3350,
1668571230763,1668571230898,1668571231508,1.3529,
1668571230763,1668571231148,1668571231758,1.3683,
1668571230763,1668571231398,1668571232008,1.3786,
1668571232265,1668571231648,1668571232258,1.3824,
1668571232265,1668571231898,1668571232508,1.3824,
1668571232267,1668571232148,1668571232758,1.3773,
1668571232267,1668571232398,1668571233008,1.3709,
1668571232267,1668571232648,1668571233258,1.3657,
1668571232267,1668571232898,1668571233508,1.3645,
1668571233751,1668571233148,1668571233758,1.3798,
1668571233751,1668571233398,1668571234008,1.4029,
1668571233751,1668571233648,1668571234258,1.4183,
1668571233751,1668571233898,1668571234508,1.4362,
1668571233751,1668571234148,1668571234758,1.4388,
1668571233751,1668571234398,1668571235008,1.4400,
1668571235260,1668571234648,1668571235258,1.4349,
1668571235260,1668571234898,1668571235508,1.4272,
1668571235261,1668571235148,1668571235758,1.4157,
1668571235261,1668571235398,1668571236008,1.4067,
1668571235261,1668571235648,1668571236258,1.4029,
1668571235261,1668571235898,1668571236508,1.4042,
1668571236766,1668571236148,1668571236758,1.4003,
1668571236766,1668571236398,1668571237008,1.3926,
1668571236767,1668571236648,1668571237258,1.3888,
1668571236767,1668571236898,1668571237508,1.3811,
1668571236767,1668571237148,1668571237758,1.3747,
1668571236767,1668571237398,1668571238008,1.3670,
1668571238250,1668571237648,1668571238258,1.3593,
1668571238251,1668571237898,1668571238508,1.3593,
1668571238252,1668571238148,1668571238758,1.3542,
1668571238252,1668571238398,1668571239008,1.3542,
1668571238252,1668571238648,1668571239258,1.3529,
1668571238252,1668571238898,1668571239508,1.3504,
1668571239759,1668571239148,1668571239758,1.3478,
1668571239759,1668571239398,1668571240008,1.3478,
1668571239759,1668571239648,1668571240258,1.3465,
1668571239759,1668571239898,1668571240508,1.3427,
1668571239759,1668571240148,1668571240758,1.3414,
1668571239759,1668571240398,1668571241008,1.3414,
1668571241267,1668571240648,1668571241258,1.3452,
1668571241267,1668571240898,1668571241508,1.3452,
1668571241268,1668571241148,1668571241758,1.3452,
1668571241268,1668571241398,1668571242008,1.3491,
1668571241268,1668571241648,1668571242258,1.3504,
1668571241268,1668571241898,1668571242508,1.3504,
1668571242753,1668571242148,1668571242758,1.3517,
1668571242753,1668571242398,1668571243008,1.3529,
1668571242753,1668571242648,1668571243258,1.3555,
1668571242753,1668571242898,1668571243508,1.3517,
1668571242753,1668571243148,1668571243758,1.3529,
1668571242753,1668571243398,1668571244008,1.3542,
1668571244259,1668571243898,1668571244508,1.3517,
1668571244259,1668571243648,1668571244258,1.3542,
1668571244260,1668571244148,1668571244758,1.3504,
1668571244260,1668571244398,1668571245008,1.3478,
1668571244260,1668571244648,1668571245258,1.3465,
1668571244260,1668571244898,1668571245508,1.3440,
1668571245766,1668571245148,1668571245758,1.3414,
1668571245766,1668571245398,1668571246008,1.3388,
1668571245767,1668571245648,1668571246258,1.3376,
1668571245767,1668571245898,1668571246508,1.3376,
1668571245767,1668571246148,1668571246758,1.3363,
1668571245767,1668571246398,1668571247008,1.3376,
1668571247253,1668571246648,1668571247258,1.3401,
1668571247253,1668571246898,1668571247508,1.3401,
1668571247253,1668571247148,1668571247758,1.3388,
1668571247253,1668571247398,1668571248008,1.3388,
1668571247253,1668571247648,1668571248258,1.3401,
1668571247253,1668571247898,1668571248508,1.3427,
1668571248758,1668571248398,1668571249008,1.3491,
1668571248758,1668571248148,1668571248758,1.3478,
1668571248760,1668571248648,1668571249258,1.3517,
1668571248760,1668571248898,1668571249508,1.3555,
1668571248760,1668571249148,1668571249758,1.3542,
1668571248760,1668571249398,1668571250008,1.3542,
1668571250266,1668571249898,1668571250508,1.3491,
1668571250266,1668571249648,1668571250258,1.3517,
1668571250267,1668571250148,1668571250758,1.3440,
1668571250267,1668571250398,1668571251008,1.3401,
1668571250267,1668571250648,1668571251258,1.3388,
1668571250267,1668571250898,1668571251508,1.3363,
1668571251775,1668571251148,1668571251758,1.3337,
1668571251775,1668571251398,1668571252008,1.3312,
1668571251776,1668571251648,1668571252258,1.3260,
1668571251776,1668571251898,1668571252508,1.3196,
1668571251776,1668571252148,1668571252758,1.3145,
1668571251776,1668571252398,1668571253008,1.3145,
1668571253259,1668571252648,1668571253258,1.3107,
1668571253259,1668571252898,1668571253508,1.3055,
1668571253260,1668571253148,1668571253758,1.3017,
1668571253260,1668571253398,1668571254008,1.2979,
1668571253260,1668571253648,1668571254258,1.2953,
1668571253260,1668571253898,1668571254508,1.2940,
1668571254767,1668571254148,1668571254758,1.2902,
1668571254767,1668571254398,1668571255008,1.2889,
1668571254767,1668571254648,1668571255258,1.2863,
1668571254767,1668571254898,1668571255508,1.2799,
1668571254767,1668571255148,1668571255758,1.2850,
1668571254767,1668571255398,1668571256008,1.2850,
1668571256251,1668571255648,1668571256258,1.2850,
1668571256251,1668571255898,1668571256508,1.2850,
1668571256252,1668571256148,1668571256758,1.2863,
1668571256252,1668571256398,1668571257008,1.2863,
1668571256252,1668571256648,1668571257258,1.2850,
